iter	Logloss
0	0.6543096995
1	0.6206174619
2	0.5918683685
3	0.5688628732
4	0.5502178426
5	0.5335221779
6	0.5178930715
7	0.5056865974
8	0.4932508633
9	0.4828978609
10	0.4735551919
11	0.4652137476
12	0.4575938126
13	0.4509580937
14	0.445484474
15	0.4412692293
16	0.4369341771
17	0.4325480339
18	0.4294842362
19	0.425416081
20	0.4228626898
21	0.4202875736
22	0.4175837264
23	0.4145029353
24	0.4119668942
25	0.4097493514
26	0.4086571653
27	0.4065195472
28	0.4044069177
29	0.4027695535
30	0.4011473178
31	0.3999485924
32	0.3986896323
33	0.3977872936
34	0.3965896236
35	0.3954239142
36	0.3940039012
37	0.3927981645
38	0.3920426676
39	0.3912609761
40	0.3903801998
41	0.3894263102
42	0.3883832739
43	0.3879109715
44	0.3876398685
45	0.3869616503
46	0.3861954663
47	0.3849077978
48	0.3845173725
49	0.3840079365
50	0.3838971316
51	0.3838696032
52	0.3833690223
53	0.3825322278
54	0.3825293796
55	0.382516498
56	0.3823897354
57	0.3823725258
58	0.38236342
59	0.3820317034
60	0.3819857141
61	0.3814976638
62	0.3812392055
63	0.3809495014
64	0.380858444
65	0.3804119905
66	0.380339234
67	0.3799669221
68	0.3798842471
69	0.3796228556
70	0.379313439
71	0.3789430882
72	0.3784568274
73	0.3782338678
74	0.3780561002
75	0.37740383
76	0.3772824377
77	0.3772344648
78	0.377069845
79	0.3770114154
80	0.3769761433
81	0.3767998194
82	0.3763563686
83	0.3763311143
84	0.3761236646
85	0.3757315689
86	0.3752996187
87	0.3750560546
88	0.3746039082
89	0.3744644194
90	0.374328303
91	0.3737191557
92	0.3736157322
93	0.3734905973
94	0.3733661261
95	0.373350792
96	0.3733245516
97	0.3732135103
98	0.3731717747
99	0.3730930541
