iter	Passed	Remaining
0	30	3040
1	60	2955
2	92	2986
3	125	3010
4	157	2984
5	185	2898
6	219	2910
7	250	2886
8	279	2822
9	297	2679
10	338	2735
11	372	2728
12	404	2705
13	439	2697
14	472	2676
15	506	2659
16	539	2631
17	562	2562
18	574	2448
19	607	2430
20	629	2368
21	660	2341
22	681	2282
23	714	2264
24	747	2243
25	792	2254
26	810	2190
27	846	2176
28	895	2192
29	945	2206
30	998	2223
31	1068	2270
32	1148	2331
33	1197	2324
34	1247	2317
35	1297	2306
36	1348	2296
37	1398	2282
38	1451	2269
39	1500	2251
40	1551	2231
41	1584	2188
42	1617	2143
43	1660	2113
44	1694	2070
45	1739	2042
46	1773	2000
47	1806	1957
48	1839	1914
49	1872	1872
50	1907	1832
51	1924	1776
52	1955	1733
53	1988	1694
54	2001	1637
55	2012	1581
56	2034	1534
57	2045	1481
58	2066	1436
59	2098	1399
60	2131	1362
61	2158	1322
62	2190	1286
63	2221	1249
64	2256	1214
65	2305	1187
66	2355	1159
67	2403	1131
68	2434	1093
69	2473	1060
70	2505	1023
71	2538	987
72	2569	950
73	2602	914
74	2636	878
75	2669	843
76	2704	807
77	2754	777
78	2804	745
79	2850	712
80	2883	676
81	2916	640
82	2950	604
83	2984	568
84	3027	534
85	3078	501
86	3122	466
87	3155	430
88	3200	395
89	3242	360
90	3276	324
91	3308	287
92	3340	251
93	3373	215
94	3406	179
95	3438	143
96	3470	107
97	3504	71
98	3536	35
99	3568	0
